time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-29T22:24:40.960	WT901BLE67(38:1E:C7:E4:EA:9B)	0.448	-0.740	-0.293	37.048	5.371	-56.641	-106.26	-16.74	-0.43	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:40.981	WT901BLE67(38:1E:C7:E4:EA:9B)	0.517	-0.759	-0.199	-21.606	8.057	-0.977	-106.20	-18.76	-1.33	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.088	WT901BLE67(38:1E:C7:E4:EA:9B)	0.478	-0.698	-0.359	-32.471	-3.052	23.376	-109.29	-15.33	-2.97	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.178	WT901BLE67(38:1E:C7:E4:EA:9B)	0.468	-0.654	-0.357	-43.335	13.611	21.362	-112.41	-13.61	-4.10	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.290	WT901BLE67(38:1E:C7:E4:EA:9B)	0.443	-0.595	-0.374	-23.682	3.967	9.399	-114.94	-14.43	-4.14	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.382	WT901BLE67(38:1E:C7:E4:EA:9B)	0.419	-0.523	-0.373	-26.123	-11.475	19.287	-117.44	-13.97	-4.38	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.493	WT901BLE67(38:1E:C7:E4:EA:9B)	0.389	-0.437	-0.418	-23.315	-15.076	43.457	-119.89	-13.29	-4.34	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.585	WT901BLE67(38:1E:C7:E4:EA:9B)	0.391	-0.420	-0.377	-15.747	-15.564	16.663	-121.74	-12.30	-4.08	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.695	WT901BLE67(38:1E:C7:E4:EA:9B)	0.384	-0.386	-0.380	-12.512	6.226	21.179	-123.03	-12.00	-4.14	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
2026-05-29T22:24:41.763	WT901BLE67(38:1E:C7:E4:EA:9B)	0.454	-0.416	-0.306	-33.142	-3.174	24.597	-125.43	-10.96	-4.80	null	null	null	null	null	null	null	null	null	null	10039.1.2	50
